# process with pid = 57735, launched at 2019-06-30 21:08:44.365460
# <j2> <train_ratio> <test_loss> <test_loss_err> <test_accuracy> <test_accuracy_err> <train_loss> <train_loss_err> <train_accuracy> <train_accuracy_err> <rest_loss> <rest_loss_err> <rest_accuracy> <rest_accuracy_err> <resampled_loss> <resampled_loss_err> <resampled_accuracy> <resampled_accuracy_err> <total_overlap> <total_overlap_err> <rest_overlap> <rest_overlap_err> <total_expr> <total_acc> 
0.550 0.010 6.1376136541e-01 5.4951834284e-03 6.6928609729e-01 6.1268107113e-03 2.0127261430e-01 3.7111902693e-02 9.4278492647e-01 2.0043562072e-02 7.1174348452e-01 3.8244095756e-03 6.0229513863e-01 4.3319459780e-03 3.7190341204e-01 9.6698745858e-03 8.3328710894e-01 4.7856959015e-03 3.9422442253e-02 3.4823008514e-03 -7.5381326658e-03 2.2089323791e-03 1.8412268162e-01 9.4117647059e-01
0.575 0.010 5.8004255593e-01 5.7714159984e-03 6.8983321931e-01 3.1920566003e-03 1.8691445515e-01 1.4814502050e-02 9.5301011029e-01 1.8041342360e-02 6.6128440176e-01 3.5741510793e-03 6.3781417484e-01 3.4477744057e-03 3.5216651857e-01 7.9456856186e-03 8.3900968863e-01 1.7545795145e-03 7.6444144203e-02 1.0974559219e-02 4.2218868190e-02 7.3789904213e-03 2.2020778060e-01 9.4117647059e-01
0.600 0.010 3.3503305912e-01 1.1661221195e-02 8.9244771925e-01 7.1114247725e-03 7.5798146427e-02 1.3837130800e-02 1.0000000000e+00 0.0000000000e+00 4.1091868271e-01 1.2839155047e-02 8.6303507828e-01 9.0950703328e-03 1.9371898472e-01 1.3636690409e-02 9.4747984617e-01 5.7879952851e-03 2.5428588509e-01 6.9181167016e-03 2.0173552749e-01 8.9385659060e-03 6.3196785748e-02 1.0000000000e+00
0.610 0.010 1.9955901057e-01 9.4838145294e-03 9.4516761274e-01 5.9911699959e-03 4.6100551262e-02 5.6281497794e-03 1.0000000000e+00 0.0000000000e+00 2.4722342084e-01 1.0186330403e-02 9.3002291722e-01 6.1279074109e-03 1.2132045440e-01 1.0073098484e-02 9.7178463131e-01 4.4473150022e-03 3.6573317414e-01 8.6551424218e-03 3.0841335004e-01 7.8207942499e-03 4.4199403375e-02 1.0000000000e+00
0.620 0.010 9.7472267225e-02 4.8029442775e-03 9.7719708596e-01 2.4890095409e-03 2.9276807327e-02 3.1248577962e-03 1.0000000000e+00 0.0000000000e+00 1.1172726823e-01 4.0880164364e-03 9.7266778897e-01 2.7115613721e-03 7.1129916236e-02 5.7623486928e-03 9.8644700836e-01 2.2881774244e-03 5.8031248060e-01 1.1906995184e-02 5.1852538917e-01 8.2679945349e-03 4.1862402111e-02 1.0000000000e+00
0.700 0.010 5.9654344805e-02 9.9456281222e-03 9.8889669582e-01 2.8900946753e-03 2.3466547485e-02 5.2717112790e-03 1.0000000000e+00 0.0000000000e+00 6.1151839689e-02 9.8610682995e-03 9.8779878486e-01 2.8333953238e-03 5.8130050078e-02 1.0369684147e-02 9.8954404260e-01 3.2978568642e-03 9.0029092198e-01 6.1942126761e-03 8.9383163151e-01 7.2106960576e-03 2.7080077678e-02 1.0000000000e+00
0.800 0.010 6.4706978388e-02 1.2173008847e-02 9.8889207329e-01 4.0377560880e-03 2.3237976478e-02 7.4961706280e-03 1.0000000000e+00 0.0000000000e+00 6.5290675907e-02 1.2876416347e-02 9.8834833622e-01 4.0765297365e-03 6.1815841123e-02 1.3374835545e-02 9.8982138895e-01 3.7949859607e-03 8.4430078361e-01 1.3274929734e-02 8.3033552384e-01 8.9288421687e-03 1.1878034472e-01 9.4117647059e-01
0.900 0.010 1.5263638273e-01 1.2413723475e-02 9.6379176451e-01 4.5113638084e-03 5.6424514391e-02 1.3487179126e-02 9.9609375000e-01 3.9062500000e-03 1.5825329290e-01 1.1047696785e-02 9.6169007747e-01 3.9600001771e-03 1.4377855510e-01 1.1191447079e-02 9.6689409067e-01 3.3565274757e-03 6.8458760904e-01 5.8269840521e-03 6.6300911092e-01 6.2838277158e-03 4.2916059494e-02 1.0000000000e+00
1.000 0.010 1.8146886304e-01 8.7810837497e-03 9.4799197530e-01 3.9962868412e-03 7.1263706312e-02 5.4092257561e-03 9.9804687500e-01 3.3829117335e-03 1.9054157412e-01 6.8545569272e-03 9.4455104167e-01 3.3035969842e-03 1.6488277912e-01 6.9748397574e-03 9.5559684935e-01 2.8650622262e-03 5.4625168199e-01 3.3332996504e-03 5.3030721578e-01 6.4558067950e-03 6.7980632186e-02 1.0000000000e+00

