# process with pid = 37431, launched at 2019-10-12 16:32:53.591479
# <j2> <train_ratio> <test_loss> <test_loss_err> <test_accuracy> <test_accuracy_err> <train_loss> <train_loss_err> <train_accuracy> <train_accuracy_err> <rest_loss> <rest_loss_err> <rest_accuracy> <rest_accuracy_err> <resampled_loss> <resampled_loss_err> <resampled_accuracy> <resampled_accuracy_err> <total_overlap> <total_overlap_err> <rest_overlap> <rest_overlap_err> <total_expr> <total_acc> 
0.000 0.00001 6.9531977177e-01 1.9651651382e-04 4.9908779123e-01 1.0862698075e-03 7.9696103930e-03 1.3446174562e-03 1.0000000000e+00 0.0000000000e+00 6.9515353441e-01 3.0398368835e-05 5.0082901120e-01 2.9501318932e-04 6.9532522559e-01 1.5735328197e-03 4.9419729207e-01 1.6441005803e-02 1.4805317265e-03 2.9036796897e-04 1.5880348638e-03 5.8982518848e-04 6.6249929368e-03 1.0000000000e+00
0.000 0.00002 6.9618520141e-01 1.7733871937e-03 4.9901043077e-01 2.6753826119e-04 1.0738039855e-02 1.8496275879e-03 1.0000000000e+00 0.0000000000e+00 6.9590190053e-01 1.8203556538e-03 5.0077709556e-01 6.3440203667e-04 6.9710350037e-01 2.3724436760e-03 4.9161831077e-01 3.5460992908e-03 -2.6275707735e-03 3.6008622052e-03 1.4848949199e-03 1.2690127434e-03 8.8884122670e-03 1.0000000000e+00
0.000 0.00003 6.9499456882e-01 1.1980533600e-04 4.9987106590e-01 9.7989917353e-04 2.4944718927e-02 2.4336129427e-03 1.0000000000e+00 0.0000000000e+00 6.9504895806e-01 1.2686848640e-04 5.0056496263e-01 4.7340989113e-04 6.9494092464e-01 6.9379806519e-05 4.9838848303e-01 5.4791577138e-03 7.8988834938e-04 1.9190048962e-03 1.0605669106e-03 9.4698540600e-04 2.2511105984e-02 1.0000000000e+00
0.000 0.00005 6.9520592690e-01 1.5641450882e-03 5.0107982310e-01 1.3699248314e-03 3.7040818483e-02 4.0312036872e-03 1.0000000000e+00 0.0000000000e+00 6.9534373283e-01 1.6391277313e-03 5.0045692921e-01 2.7847290039e-04 6.9536143541e-01 1.7171502113e-03 4.9484270242e-01 2.9654461062e-03 -4.1225307298e-03 2.3537144861e-03 8.4364246047e-04 5.5717902114e-04 3.3009614795e-02 1.0000000000e+00
0.000 0.00010 6.9804942608e-01 3.0257701874e-03 4.9959063423e-01 2.3530473575e-04 2.0046857535e-02 1.8747287453e-02 1.0000000000e+00 0.0000000000e+00 6.9790026546e-01 2.9590427876e-03 5.0047750771e-01 5.5365264416e-04 6.9744092226e-01 2.2336840630e-03 5.0273981434e-01 4.2225373904e-03 8.6116875498e-04 8.1133691871e-04 8.8398837124e-04 1.1076800492e-03 4.0875872946e-04 1.0000000000e+00
0.000 0.00020 6.9503334165e-01 2.8112530708e-04 4.9867197875e-01 1.9855851674e-03 5.5183501900e-05 2.2704098228e-06 1.0000000000e+00 0.0000000000e+00 6.9497001171e-01 5.1140785217e-04 5.0016790628e-01 4.1902065277e-05 6.9506984949e-01 2.7215480804e-04 4.9843669417e-01 8.2194430119e-04 -1.5282853759e-04 9.8373657653e-04 2.6455390779e-04 8.3952200104e-05 4.2132040835e-04 1.0000000000e+00
0.000 0.00030 6.9485083222e-01 1.7002224922e-04 5.0080261478e-01 2.2563467812e-05 1.9357539713e-05 7.9600140452e-06 1.0000000000e+00 0.0000000000e+00 6.9480621815e-01 1.1622905731e-04 5.0094017386e-01 3.3214688301e-04 6.9514831901e-01 6.3925981522e-05 4.9782959063e-01 4.1903943269e-04 -1.4888104610e-03 7.7818002315e-04 1.8085106227e-03 6.6427910696e-04 8.0776400864e-05 1.0000000000e+00
0.000 0.00050 8.0182425678e-02 4.5686513186e-03 9.8142381929e-01 9.8312252608e-04 1.2203119695e-05 3.4132972360e-06 1.0000000000e+00 0.0000000000e+00 8.6405191571e-02 5.5202804506e-03 9.7987160087e-01 1.2375414371e-03 6.4393343404e-02 6.6048409790e-03 9.8459237484e-01 1.1475135058e-03 9.7635539320e-01 1.1089040137e-03 9.5974364679e-01 2.4746175525e-03 2.4424865842e-05 1.0000000000e+00
0.000 0.00100 4.9449946731e-02 5.4598078132e-03 9.8531440581e-01 8.9609200738e-04 2.7288217098e-05 1.5820842236e-05 1.0000000000e+00 0.0000000000e+00 5.1115747541e-02 5.6802965701e-03 9.8465412855e-01 9.1814994812e-04 3.8868319243e-02 2.8487443924e-03 9.8813483928e-01 2.2563467812e-05 9.8255074570e-01 3.7959015709e-04 9.6930801418e-01 1.8374162486e-03 4.3109059334e-05 1.0000000000e+00
0.000 0.00200 3.2729970291e-02 3.1109713018e-04 9.9014298792e-01 3.4812207481e-04 5.0788279623e-05 2.6600901037e-05 1.0000000000e+00 0.0000000000e+00 3.3795705065e-02 1.1018048972e-03 9.8987257481e-01 6.1404705048e-04 2.5544810109e-02 1.4409953728e-03 9.9226231728e-01 6.2694409077e-04 9.9021924186e-01 5.9870026661e-04 9.7974502735e-01 1.2280948876e-03 2.4187378585e-05 1.0000000000e+00
