# process with pid = 2743, launched at 2019-07-01 19:00:31.462380
# <j2> <train_ratio> <test_loss> <test_loss_err> <test_accuracy> <test_accuracy_err> <train_loss> <train_loss_err> <train_accuracy> <train_accuracy_err> <rest_loss> <rest_loss_err> <rest_accuracy> <rest_accuracy_err> <resampled_loss> <resampled_loss_err> <resampled_accuracy> <resampled_accuracy_err> <total_overlap> <total_overlap_err> <rest_overlap> <rest_overlap_err> <total_expr> <total_acc> 
0.500 0.100 6.8593715332e-04 6.3327207733e-04 9.9993990718e-01 4.5993539426e-05 4.7497451305e-07 2.9729473776e-07 1.0000000000e+00 0.0000000000e+00 1.1098650999e-03 1.1320420830e-04 9.9992551874e-01 3.1010535146e-06 5.7482432749e-04 1.9259623215e-04 9.9996486894e-01 1.0938849371e-05 9.5711117250e-01 1.7539990127e-05 9.3383876847e-01 1.1546215487e-04 2.3096799850e-07 1.0000000000e+00
0.500 0.200 1.6831668327e-03 2.3111026198e-04 9.9985207921e-01 3.6980197104e-05 7.9666083366e-06 2.0230939308e-06 1.0000000000e+00 0.0000000000e+00 2.0535844029e-03 9.1582049958e-05 9.9983124494e-01 6.5470135165e-07 9.3453306181e-04 1.2985227125e-04 9.9993482252e-01 6.9645227314e-06 9.5710030579e-01 3.9293635187e-06 9.1596224538e-01 1.2615126425e-04 9.3113631010e-06 1.0000000000e+00
0.500 0.300 3.5148355528e-03 4.7111882385e-04 9.9965331065e-01 5.6045132726e-05 3.3559743315e-05 8.7600328477e-06 1.0000000000e+00 0.0000000000e+00 3.9411236253e-03 2.2658455389e-04 9.9962861519e-01 1.9139836868e-06 1.4942230482e-03 7.4452784544e-05 9.9987673298e-01 3.5938203129e-06 9.5710007707e-01 4.0876605795e-06 8.9458772283e-01 2.7364613857e-04 2.3467466235e-05 1.0000000000e+00
0.500 0.400 6.9743711501e-03 9.9393502695e-04 9.9918181314e-01 8.2041673674e-05 4.7788023949e-05 1.0081442593e-05 1.0000000000e+00 0.0000000000e+00 7.8565805286e-03 3.7388563018e-04 9.9913288318e-01 1.1279149155e-05 1.9661595579e-03 1.8840152123e-04 9.9979730267e-01 2.0395460866e-05 9.5713788314e-01 2.5526634196e-05 8.6740312378e-01 2.6070171437e-04 3.7681311369e-05 1.0000000000e+00
0.500 0.500 1.4537146548e-02 1.2714160638e-03 9.9799382431e-01 8.7217620436e-05 6.3006368691e-05 4.0544092970e-05 1.0000000000e+00 0.0000000000e+00 1.6783548347e-02 5.8401491260e-04 9.9783036762e-01 1.7862942343e-05 3.4446305363e-03 2.2828365928e-04 9.9958582271e-01 1.3404972909e-05 9.5720459322e-01 1.1122617551e-04 8.2988232621e-01 2.6931978076e-04 4.6832221415e-05 1.0000000000e+00
0.500 0.600 2.8088288382e-02 1.4281176482e-03 9.9461013627e-01 3.1501072495e-04 9.9514378235e-05 7.5191175018e-06 1.0000000000e+00 0.0000000000e+00 3.3544570542e-02 1.0757776160e-03 9.9382578945e-01 8.4220450894e-05 4.8647928052e-03 2.3863837668e-04 9.9916378735e-01 2.6482245275e-05 9.5830159173e-01 2.8897962608e-04 7.7889689711e-01 1.6868333154e-03 2.3349747062e-04 1.0000000000e+00
# process with pid = 63257, launched at 2019-07-02 18:46:40.045488
# <j2> <train_ratio> <test_loss> <test_loss_err> <test_accuracy> <test_accuracy_err> <train_loss> <train_loss_err> <train_accuracy> <train_accuracy_err> <rest_loss> <rest_loss_err> <rest_accuracy> <rest_accuracy_err> <resampled_loss> <resampled_loss_err> <resampled_accuracy> <resampled_accuracy_err> <total_overlap> <total_overlap_err> <rest_overlap> <rest_overlap_err> <total_expr> <total_acc> 
0.500 0.00010 6.9437314570e-01 3.8273350398e-04 5.0178429451e-01 7.5707866012e-04 3.6285298876e-02 1.1826643012e-02 1.0000000000e+00 0.0000000000e+00 6.9448272805e-01 4.0489684748e-04 5.0044301646e-01 4.7386201189e-04 6.9273878634e-01 3.9286680879e-03 5.0740740741e-01 2.8206567059e-02 8.4668700358e-04 3.5097163666e-04 7.8256602376e-04 2.1338403875e-04 7.3186874390e-02 1.0000000000e+00
0.500 0.00030 6.9429704547e-01 4.4743850384e-04 4.9975038367e-01 2.3367490719e-03 2.4894667789e-02 3.5960211763e-03 1.0000000000e+00 0.0000000000e+00 6.9415442717e-01 3.7576257014e-04 5.0081976343e-01 6.0408893871e-04 6.9419583678e-01 1.1085851245e-03 5.0924784217e-01 1.4406068367e-02 9.9661892808e-04 7.8213031076e-04 9.3839192985e-04 2.9169942610e-04 2.0089786500e-02 1.0000000000e+00
0.500 0.00050 6.9400884211e-01 2.9428370319e-04 4.9908474012e-01 8.9995699378e-04 3.5454620607e-02 3.6995585329e-03 1.0000000000e+00 0.0000000000e+00 6.9404788243e-01 3.0903079478e-04 5.0023710344e-01 4.1615230918e-04 6.9394592941e-01 1.1169582938e-03 4.9704142012e-01 2.0457569062e-02 1.0991366218e-05 3.3115445941e-04 2.4417521769e-04 1.7873945940e-04 4.1344434023e-02 1.0000000000e+00
0.500 0.00070 6.9449533522e-01 1.6855243685e-04 5.0001386757e-01 3.9164188253e-03 3.4646811895e-02 8.0333361492e-03 1.0000000000e+00 0.0000000000e+00 6.9453979430e-01 4.6960529387e-04 5.0045270255e-01 8.1128550245e-04 6.9386050105e-01 1.3134526327e-03 5.0092445853e-01 1.4550598272e-02 6.3120108390e-04 6.4287350589e-04 5.7135262971e-04 1.6198598602e-04 3.3326402307e-02 1.0000000000e+00
0.500 0.00090 6.9417780638e-01 4.0147711215e-04 4.9933897898e-01 1.6017898313e-03 2.9897302389e-02 1.6972435167e-02 1.0000000000e+00 0.0000000000e+00 6.9414775228e-01 2.9457730156e-04 4.9993554271e-01 1.4336406933e-03 6.9368477166e-01 5.1817291401e-04 5.0605998357e-01 9.0123198090e-03 7.6535653516e-06 3.2152437142e-04 2.4136135879e-04 4.1379109892e-04 1.0417938232e-02 1.0000000000e+00
0.500 0.00110 6.9429993629e-01 5.1151371414e-04 4.9938058170e-01 7.6315067890e-04 5.1693743560e-02 2.0589219868e-02 1.0000000000e+00 0.0000000000e+00 6.9426651477e-01 4.3574244806e-04 4.9895507263e-01 5.9705025670e-04 6.9445633888e-01 1.2533650679e-03 5.0159663866e-01 4.6780388772e-03 6.2707852139e-04 2.6579501893e-04 2.5369791873e-05 1.7391181117e-04 5.2738074213e-02 1.0000000000e+00
0.500 0.00130 5.6748885661e-01 1.2901667085e-01 6.6813971118e-01 1.7299592527e-01 2.2133293503e-02 2.3836168574e-02 1.0000000000e+00 0.0000000000e+00 5.7880412869e-01 1.1735840548e-01 6.6623774766e-01 1.6704550050e-01 5.5854697526e-01 1.3559453742e-01 6.7361308677e-01 1.7454985345e-01 3.0773341528e-01 3.0863005043e-01 2.9938575789e-01 3.0047215063e-01 2.5074926671e-03 1.0000000000e+00
0.500 0.00150 4.5794684067e-01 2.3601379605e-01 7.1417081153e-01 2.1371789690e-01 3.7285047118e-02 4.2687565285e-02 9.9804687500e-01 3.3829117335e-03 4.6250087518e-01 2.3158847605e-01 7.1160341941e-01 2.1246937348e-01 4.4400641695e-01 2.4963352496e-01 7.1881163708e-01 2.1600605725e-01 4.0356822453e-01 4.0318929652e-01 4.0023058546e-01 3.9987622429e-01 7.4729308486e-02 1.0000000000e+00
0.500 0.00170 5.5461887270e-01 1.0153685659e-01 7.9239779598e-01 5.2207842467e-02 8.6675218772e-03 4.2628251719e-03 1.0000000000e+00 0.0000000000e+00 5.6782242400e-01 9.6468768454e-02 7.8818943781e-01 5.2772712017e-02 5.1747021079e-01 1.1088263926e-01 8.0258864477e-01 5.3559675839e-02 5.3552588814e-01 8.8428845534e-02 5.2120485038e-01 8.4892182043e-02 1.2791839242e-01 9.8290598291e-01
