# process with pid = 76696, launched at 2019-07-01 09:17:47.907321
# <j2> <train_ratio> <test_loss> <test_loss_err> <test_accuracy> <test_accuracy_err> <train_loss> <train_loss_err> <train_accuracy> <train_accuracy_err> <rest_loss> <rest_loss_err> <rest_accuracy> <rest_accuracy_err> <resampled_loss> <resampled_loss_err> <resampled_accuracy> <resampled_accuracy_err> <total_overlap> <total_overlap_err> <rest_overlap> <rest_overlap_err> <total_expr> <total_acc> 
1.280 0.010 5.1896287998e-01 1.0074223530e-02 7.6717267903e-01 5.1095829757e-03 1.1267382155e-01 7.4118095364e-03 9.6997549020e-01 8.6655242792e-04 5.7006185918e-01 8.9455284525e-03 7.4653803370e-01 4.2902094440e-03 3.6701492469e-01 1.0465499638e-02 8.4276310924e-01 3.9206423450e-03 2.5278896047e-01 4.4365792844e-03 1.9112386442e-01 4.6096008506e-03 1.2060586363e-01 9.7058823529e-01
1.300 0.010 4.7447110216e-01 2.8565383811e-02 7.9737317333e-01 1.5361940153e-02 1.0385714471e-01 1.9228793062e-02 9.8498774510e-01 1.2015117372e-02 5.3155912082e-01 2.6879786485e-02 7.7381471021e-01 1.5265946216e-02 3.1758173307e-01 2.5889403425e-02 8.7054705027e-01 1.3315957110e-02 2.8238203148e-01 1.2401824701e-02 2.1247376621e-01 1.2481801391e-02 1.2844315171e-01 9.8437500000e-01
1.320 0.010 4.7827992837e-01 2.5228451740e-02 7.9749644066e-01 1.2665892961e-02 9.6020730833e-02 2.0260649815e-02 9.7977941176e-01 9.1065342817e-03 5.3550988576e-01 2.6042621853e-02 7.7301883383e-01 1.3218251325e-02 3.1600169341e-01 2.5804361520e-02 8.7113872248e-01 1.2447926485e-02 2.8192583579e-01 1.0327583416e-02 2.0883533728e-01 9.8531093182e-03 1.1658500135e-01 9.7058823529e-01
1.400 0.010 4.5215812325e-01 1.0868440933e-02 8.1187557396e-01 4.9400600704e-03 6.3066887359e-02 2.0460766965e-02 9.9218750000e-01 1.1048543456e-02 5.2022275453e-01 9.4553803017e-03 7.8300780469e-01 5.2803466497e-03 2.7588232358e-01 8.0607335389e-03 8.9082415009e-01 3.3973331137e-03 2.9290806343e-01 1.9840953192e-03 2.0053025047e-01 4.6652030511e-03 4.1336420923e-02 1.0000000000e+00
1.450 0.010 4.2067906260e-01 7.1774425933e-03 8.3439035063e-01 6.1455653300e-03 4.2709633708e-02 3.0962322250e-03 9.9739583333e-01 3.6828478187e-03 5.1091082997e-01 9.4908262668e-03 7.9855503790e-01 7.8210194898e-03 2.2535492977e-01 3.2099522550e-03 9.1576066859e-01 1.6548762613e-03 2.8166145792e-01 1.7644912244e-02 1.8708193242e-01 1.1976711511e-02 4.7087918967e-02 9.9218750000e-01
1.500 0.010 3.9791228374e-01 1.6426900398e-02 8.4298208309e-01 7.5646425813e-03 3.1939106062e-02 8.6494833195e-03 9.9739583333e-01 3.6828478187e-03 4.8535752256e-01 2.4819907062e-02 8.0967110607e-01 9.0184868885e-03 2.0244690279e-01 1.1687072551e-02 9.2433991569e-01 3.8943951695e-03 2.9409113512e-01 1.1889705875e-02 1.9077235366e-01 7.1237638692e-03 4.3991252780e-02 9.9218750000e-01
1.520 0.010 3.8227467736e-01 1.7116528555e-02 8.5036579578e-01 5.3068265038e-03 2.8397467919e-02 9.9367056033e-03 9.9739583333e-01 3.6828478187e-03 4.7878516948e-01 2.2142273632e-02 8.1209347949e-01 6.4167722707e-03 1.8571222325e-01 5.0192067725e-03 9.3137834973e-01 7.9732572190e-04 3.1425566488e-01 1.0957304745e-02 1.9796143546e-01 1.2742404491e-02 1.4353825711e-02 1.0000000000e+00
1.530 0.010 3.9290059606e-01 2.0869905288e-02 8.4923173641e-01 7.1260241712e-03 2.8773989528e-02 1.9020138413e-03 1.0000000000e+00 0.0000000000e+00 4.9213998120e-01 2.4347288955e-02 8.1172546458e-01 8.8425841442e-03 1.9415164987e-01 6.2950939189e-03 9.2988684269e-01 3.6638966417e-03 3.0544297741e-01 8.2402198790e-03 1.9383317616e-01 7.9165095546e-03 3.1271629035e-02 1.0000000000e+00
1.550 0.010 3.6909992496e-01 1.7267844768e-02 8.5885891438e-01 9.1153539619e-03 2.3460324233e-02 8.4085765888e-03 1.0000000000e+00 0.0000000000e+00 4.6394420342e-01 2.1095927383e-02 8.2044367811e-01 1.0176776363e-02 1.7222124835e-01 1.1567698424e-02 9.3745531642e-01 5.5630376311e-03 3.0042048403e-01 1.4604132426e-02 1.9604090166e-01 1.8393642362e-02 3.8093153387e-02 9.9218750000e-01
# process with pid = 26415, launched at 2019-07-08 17:09:06.592715
# <j2> <train_ratio> <test_loss> <test_loss_err> <test_accuracy> <test_accuracy_err> <train_loss> <train_loss_err> <train_accuracy> <train_accuracy_err> <rest_loss> <rest_loss_err> <rest_accuracy> <rest_accuracy_err> <resampled_loss> <resampled_loss_err> <resampled_accuracy> <resampled_accuracy_err> <total_overlap> <total_overlap_err> <rest_overlap> <rest_overlap_err> <total_expr> <total_acc> 
1.600 0.010 3.9075280229e-01 2.3120386588e-02 8.4778950872e-01 8.4516674344e-03 2.4856107930e-02 1.0135963529e-02 1.0000000000e+00 0.0000000000e+00 4.8509417409e-01 3.0097879338e-02 8.1100135407e-01 1.0230448701e-02 1.8300206959e-01 1.5220125510e-02 9.3310406035e-01 5.2820761581e-03 2.8753350073e-01 1.3011852628e-02 1.8297552999e-01 9.5236790124e-03 2.5260757655e-02 1.0000000000e+00
1.700 0.01000 3.3976242940e-01 1.0229756201e-03 8.6807314683e-01 1.8134127431e-03 1.6486499459e-02 3.6498947231e-04 1.0000000000e+00 0.0000000000e+00 4.4515832065e-01 6.4057503013e-03 8.2763584529e-01 1.1168932775e-03 1.4418606460e-01 5.1880026873e-03 9.4824100782e-01 1.5549972084e-03 9.6181853832e-01 5.2455928592e-04 6.5525541734e-01 2.2338075216e-03 1.5975357965e-02 1.0000000000e+00
1.800 0.01000 3.5293882092e-01 1.1189839766e-02 8.7015020123e-01 2.1281202917e-03 1.2152368513e-02 2.0372434264e-03 1.0000000000e+00 0.0000000000e+00 4.6272665701e-01 2.0377238074e-02 8.3253993685e-01 2.2514698229e-03 1.3472405076e-01 1.6506698090e-03 9.5280181446e-01 8.3146818303e-04 9.6752658321e-01 4.1478688688e-03 6.6506201506e-01 4.5028958161e-03 1.0081201792e-02 1.0000000000e+00
1.900 0.01000 3.7270783385e-01 4.4705955991e-03 8.6554616669e-01 2.9968540203e-03 1.5042490015e-02 3.8715235413e-03 1.0000000000e+00 0.0000000000e+00 4.9297444144e-01 8.7956400240e-03 8.2423235664e-01 3.5838675563e-03 1.4063518246e-01 5.6396388138e-03 9.5113773636e-01 1.7505372360e-03 9.6227358866e-01 1.0600953245e-02 6.4844828655e-01 7.1676246029e-03 1.6404567286e-02 1.0000000000e+00
2.000 0.01000 3.5588350892e-01 8.9263675580e-03 8.6668022607e-01 6.2055212043e-03 1.4578293388e-02 2.3502044966e-03 1.0000000000e+00 0.0000000000e+00 4.7679106748e-01 1.6629517382e-02 8.2289599749e-01 5.2981249238e-03 1.3204247753e-01 6.3778699577e-03 9.5424401548e-01 3.0768397116e-03 9.7064601741e-01 2.6966136298e-03 6.4577627841e-01 1.0596329549e-02 1.1620418169e-02 1.0000000000e+00
2.100 0.01000 3.5520115495e-01 2.4372148150e-02 8.6805465673e-01 5.3976521689e-03 9.8459582465e-03 4.0899613947e-03 1.0000000000e+00 0.0000000000e+00 4.8154275334e-01 2.8887475985e-02 8.2429364845e-01 4.1924620466e-03 1.2363179525e-01 8.3129633989e-03 9.5653674531e-01 2.1316657204e-03 9.7722407228e-01 1.4238905076e-03 6.4857088664e-01 8.3850237951e-03 1.1123061180e-02 1.0000000000e+00
2.200 0.01000 3.1813382109e-01 2.7211933785e-03 8.8079433463e-01 4.2940309768e-03 9.7071876129e-03 4.0961108477e-04 1.0000000000e+00 0.0000000000e+00 4.4838415597e-01 9.5459914783e-03 8.3430249039e-01 3.8801987447e-03 1.0646982988e-01 4.9093057229e-03 9.6345191431e-01 2.2386778265e-03 9.8003796524e-01 3.7192842959e-03 6.6858853485e-01 7.7603855764e-03 9.3903616071e-03 1.0000000000e+00
2.300 0.01000 3.3732758959e-01 2.0123229704e-02 8.7782359213e-01 4.8247545396e-03 7.0472056201e-03 2.6357298384e-03 1.0000000000e+00 0.0000000000e+00 4.7892228255e-01 2.9401755432e-02 8.2953810849e-01 7.3043218672e-03 1.0538948327e-01 7.1286734551e-03 9.6461060572e-01 2.2861595320e-03 9.7968460687e-01 4.1271604972e-03 6.5906125044e-01 1.4608591422e-02 1.1991188861e-02 1.0000000000e+00
2.400 0.01000 3.4153161446e-01 1.0201057584e-02 8.7813792381e-01 5.8127045986e-03 7.1773150315e-03 1.1730346153e-03 1.0000000000e+00 0.0000000000e+00 4.9173796021e-01 1.4133286623e-02 8.2909335043e-01 5.0488026781e-03 9.9125007788e-02 5.1549666466e-03 9.6557207307e-01 2.0657838725e-03 9.8403807300e-01 1.0257962094e-03 6.5817279478e-01 1.0097591401e-02 5.5258274078e-03 1.0000000000e+00
1.000 0.01000 3.7265819311e-01 5.7177841663e-03 8.5401142688e-01 1.8397648059e-03 3.9281987585e-02 1.2971549295e-02 9.9609375000e-01 3.9062500000e-03 4.3448284939e-01 9.2932804888e-03 8.2852344651e-01 1.5345874005e-03 2.2662244737e-01 4.7729164362e-03 9.1577915835e-01 4.6224391687e-04 9.0210691256e-01 4.2812862093e-03 6.5703457513e-01 3.0691895044e-03 2.6310438290e-02 1.0000000000e+00	
