# process with pid = 42004, launched at 2019-07-01 09:19:37.922736
# <j2> <train_ratio> <test_loss> <test_loss_err> <test_accuracy> <test_accuracy_err> <train_loss> <train_loss_err> <train_accuracy> <train_accuracy_err> <rest_loss> <rest_loss_err> <rest_accuracy> <rest_accuracy_err> <resampled_loss> <resampled_loss_err> <resampled_accuracy> <resampled_accuracy_err> <total_overlap> <total_overlap_err> <rest_overlap> <rest_overlap_err> <total_expr> <total_acc> 
1.100 0.01000 5.8700950940e-01 6.1403661742e-04 6.9181320070e-01 1.5725886491e-03 3.5680200656e-01 1.5070452220e-02 8.8235294118e-01 6.3536673514e-02 6.1197857442e-01 2.1041712583e-03 6.7262631973e-01 5.3474179418e-04 5.1458426317e-01 2.3008613976e-03 7.5340827848e-01 3.1497535513e-03 5.9544572820e-01 9.9018717252e-03 3.4523741330e-01 1.0694198950e-03 3.3555310965e-01 9.4117647059e-01
1.200 0.01000 6.1088804404e-01 4.9457112289e-03 6.6931691413e-01 6.0172385669e-03 4.1375899315e-01 1.0638976461e-02 8.4895833333e-01 3.6828478187e-03 6.3029433627e-01 3.5439179657e-03 6.5318915591e-01 4.5714581400e-03 5.4533259074e-01 6.3759051006e-03 7.3118359096e-01 5.0075352858e-03 5.5285376443e-01 1.6274179667e-02 3.0636458423e-01 9.1428880920e-03 4.2206498981e-01 8.4375000000e-01
1.280 0.01000 6.0326981544e-01 1.0723898458e-02 6.7782852283e-01 8.2703601721e-03 3.7001890937e-01 7.3946976871e-03 8.6427696078e-01 3.5073970448e-02 6.2562269050e-01 1.0629870886e-02 6.5937033319e-01 9.6444211182e-03 5.3195279837e-01 1.0147242993e-02 7.3889998274e-01 7.8761058422e-03 5.7031862026e-01 1.8494219412e-02 3.1872511772e-01 1.9288957121e-02 3.6596572399e-01 8.5294117647e-01
1.300 0.01000 5.7015269995e-01 1.6764523155e-02 7.0431867069e-01 1.5663520664e-02 3.4690302610e-01 1.1268632974e-02 8.9231004902e-01 3.6642592340e-02 5.9583509846e-01 1.6673514562e-02 6.8437126050e-01 1.4106138821e-02 4.9527239799e-01 2.3359506476e-02 7.6662229125e-01 1.9112864247e-02 6.2435818214e-01 3.8664705278e-02 3.6872664168e-01 2.8212277815e-02 4.0884518623e-01 8.5937500000e-01
1.320 0.01000 5.9159306685e-01 1.0453184451e-02 6.8558820085e-01 8.1662950605e-03 3.7951153517e-01 1.1602451462e-02 8.7009803922e-01 1.2497596847e-02 6.1291081786e-01 1.0169588414e-02 6.6788886936e-01 7.8562603202e-03 5.2287793159e-01 1.3041074043e-02 7.4611098785e-01 8.5898845099e-03 5.7646053922e-01 2.5592995850e-02 3.3576110896e-01 1.5712890349e-02 3.7229588628e-01 8.5294117647e-01
1.400 0.01000 5.4146240155e-01 1.4558352475e-02 7.2752374437e-01 1.1778104084e-02 3.0822651585e-01 1.4905020884e-02 9.3213848039e-01 2.7204260738e-02 5.7873925190e-01 1.4049438506e-02 6.9761791604e-01 1.1459675711e-02 4.4533700744e-01 1.4929291845e-02 8.0342923354e-01 9.3063720834e-03 7.1492219256e-01 2.2020342855e-02 3.9521969058e-01 2.2919333018e-02 3.4411361814e-01 9.1176470588e-01
1.700 0.01000 4.7806409001e-01 6.4802101769e-03 7.7416193628e-01 4.1521971760e-03 2.0691374938e-01 1.1179446916e-02 9.6078431373e-01 1.3864838847e-02 5.4200668156e-01 7.6043220119e-03 7.3355304280e-01 5.8162833207e-03 3.3104326328e-01 1.2290460549e-02 8.6988141903e-01 7.5122333841e-03 8.5884325990e-01 1.7648149274e-02 4.6708980317e-01 1.1632643909e-02 2.1855968237e-01 9.7058823529e-01
1.800 0.01000 4.7919614116e-01 2.8564084038e-02 7.7358874323e-01 1.9480270218e-02 1.6935869058e-01 2.9243787851e-02 9.6078431373e-01 1.3864838847e-02 5.4364680035e-01 2.2674242886e-02 7.3277826882e-01 1.6964850976e-02 3.1153259675e-01 2.2287484144e-02 8.7826344205e-01 1.4120203195e-02 8.7447893341e-01 1.6434679102e-02 4.6553885058e-01 3.3929718081e-02 2.2173185647e-01 9.4117647059e-01
1.900 0.01000 4.8168688019e-01 1.2036658792e-02 7.7243003039e-01 8.0677921876e-03 1.7958845198e-01 1.2400000029e-02 9.7135416667e-01 2.0505228839e-02 5.5279435200e-01 9.5685308447e-03 7.2783191725e-01 6.9763004949e-03 3.0695897341e-01 1.5022158821e-02 8.8262702463e-01 9.6772402500e-03 8.9089974547e-01 1.3038654575e-02 4.5564744036e-01 1.3952589989e-02 1.7308320105e-01 9.7058823529e-01
2.000 0.01000 4.8460211356e-01 2.9823303667e-02 7.7217116901e-01 1.8352372651e-02 1.7520185808e-01 1.4732482502e-02 9.4776348039e-01 9.3154386002e-03 5.6025086345e-01 3.3752478053e-02 7.2505780913e-01 2.0038066674e-02 3.0230728785e-01 1.9685679646e-02 8.8569632424e-01 1.3613417409e-02 8.9470155785e-01 1.4171143311e-02 4.5009989720e-01 4.0075993396e-02 1.9339919090e-01 9.6093750000e-01
2.100 0.01000 4.5502074560e-01 1.6721797738e-02 7.9104955963e-01 1.1631093416e-02 1.5711150567e-01 2.3071503019e-02 9.9218750000e-01 1.1048543456e-02 5.3204452050e-01 1.4921728792e-02 7.4419636831e-01 1.2638611478e-02 2.7536183596e-01 1.9005928430e-02 9.0073465967e-01 9.4649415784e-03 9.1216611625e-01 1.1019908573e-02 4.8837636021e-01 2.5277210260e-02 2.1124356985e-01 9.6093750000e-01
2.200 0.01000 4.5439248284e-01 3.1153701653e-02 7.9157344575e-01 2.1305185244e-02 1.2735310942e-01 1.2503151117e-02 9.9019607843e-01 1.3864838847e-02 5.3679143436e-01 3.0853890283e-02 7.4159693220e-01 2.0216397032e-02 2.5709822774e-01 2.4403622599e-02 9.0879619358e-01 1.3553696516e-02 9.3605400121e-01 1.5152630841e-02 4.8317770400e-01 4.0432656983e-02 1.1296959966e-01 1.0000000000e+00
2.300 0.01000 4.6740303437e-01 2.2014956250e-02 7.8455953504e-01 1.6138402158e-02 1.4932883779e-01 1.1668760233e-02 9.8039215686e-01 1.3864838847e-02 5.4524757716e-01 2.2475961379e-02 7.3756854546e-01 1.9100572553e-02 2.6569585005e-01 2.3460148533e-02 9.0426003994e-01 1.2390326113e-02 9.2526987892e-01 1.7470301434e-02 4.7512220653e-01 3.8201211201e-02 1.6335572302e-01 9.7058823529e-01
2.400 0.01000 4.4145595034e-01 1.1332837056e-02 8.0218059896e-01 8.3489204937e-03 1.1952867359e-01 7.2086318475e-03 9.8039215686e-01 1.3864838847e-02 5.3204595203e-01 1.3778360799e-02 7.5193732533e-01 1.0884582762e-02 2.3593572279e-01 7.7772885690e-03 9.1536622045e-01 4.3771762692e-03 9.3666712394e-01 4.7358671544e-03 5.0386075822e-01 2.1769199566e-02 1.1707182974e-01 9.7058823529e-01
1.000 0.01000 4.8025450110e-01 1.1688262224e-02 7.8057800048e-01 6.9522770556e-03 2.1243355423e-01 3.4914039075e-02 9.4623161765e-01 2.4356617647e-02 5.2359692973e-01 1.1628799462e-02 7.5103550876e-01 5.8304902423e-03 3.7715990841e-01 7.3163956404e-03 8.4932697286e-01 3.8273796317e-03 7.9594106892e-01 1.3662823802e-02 5.0205840848e-01 1.1661260531e-02 2.3940658569e-01 1.0000000000e+00
